c_ClaveProdServ,Descripción,Incluir IVA trasladado,Incluir IEPS trasladado,Complemento que debe incluir,FechaInicioVigencia,FechaFinVigencia,Estímulo Franja Fronteriza,Palabras similares
10161606,Ageratum púrpura,Opcional,Opcional,,43472,,1,Agérato mexicano
10161800,Plantas sin flor,Opcional,Opcional,,43472,,1,
10161801,Helechos,Opcional,Opcional,,43472,,1,
10161802,Hiedras,Opcional,Opcional,,43472,,1,
10161803,Filodendros,Opcional,Opcional,,43472,,1,Trepadora
10161804,Líquenes,Opcional,Opcional,,43472,,1,
10161805,Vides,Opcional,Opcional,,43472,,1,"Parra, Vid"
10161900,Productos florales secos,Opcional,Opcional,,43472,,1,
10161901,Vainas secas,Opcional,Opcional,,43472,,1,
10161902,Follaje seco,Opcional,Opcional,,43472,,1,
10161903,Helechos secos,Opcional,Opcional,,43472,,1,
10161905,Ramas y tallos secos,Opcional,Opcional,,43472,,1,
10161906,Penachos de gramíneas secos,Opcional,Opcional,,43472,,1,
10161907,Flores secas prensadas,Opcional,Opcional,,43472,,1,
10161908,Pétalos secos,Opcional,Opcional,,43472,,1,
10171500,Abonos orgánicos y nutrientes para plantas,Opcional,Opcional,,43472,,1,
10171501,Estiércol o guano,Opcional,Opcional,,43472,,1,
10171502,Hormonas para plantas,Opcional,Opcional,,43472,,1,
10171503,Harina de pescado,Opcional,Opcional,,43472,,1,
10171504,Abono,Opcional,Opcional,,43472,,1,
10171505,Nutriente foliar,Opcional,Opcional,,43472,,1,
10171506,Humus,Opcional,Opcional,,43472,,1,
10171600,Abonos químicos y nutrientes para plantas,Opcional,Opcional,,43472,,1,
10171601,Fertilizante nitrogenado,Opcional,Opcional,,43472,,1,
10171602,Fertilizante de potasio,Opcional,Opcional,,43472,,1,
10171603,Fertilizante de fósforo,Opcional,Opcional,,43472,,1,
10171604,Fertilizante de sulfuro,Opcional,Opcional,,43472,,1,
10171605,Mezclas de nitrógeno – fósforo – potasio – npk,Opcional,Opcional,,43472,,1,
10171606,Fertilizarte de sílice puro,Opcional,Opcional,,43472,,1,
10171607,Fertilizante con magnesio,Opcional,Opcional,,43472,,1,
10171608,Fertilizante micro elemento,Opcional,Opcional,,43472,,1,
10171609,Fertilizante fosfato de sílice,Opcional,Opcional,,43472,,1,
10171610,Fertilizante potasio de sílice,Opcional,Opcional,,43472,,1,
10171611,Fertilizante de calcio,Opcional,Opcional,,43472,,1,
10171700,Herbicidas,Opcional,Opcional,,43472,,1,
10171701,Matamalezas,Opcional,Opcional,,43472,,1,
10171702,Fungicidas,Opcional,Opcional,,43472,,1,
10171800,Acondicionadores de suelos,Opcional,Opcional,,43472,,1,
10171801,Acondicionador orgánico de suelos,Opcional,Opcional,,43472,,1,
10171802,Acondicionador inorgánico de suelos,Opcional,Opcional,,43472,,1,
10191500,Pesticidas o repelentes de plagas,Opcional,Opcional,,43472,,1,
10191506,Mata – roedores,Opcional,Opcional,,43472,,1,Veneno para roedores
10191507,Repelentes de aves,Opcional,Opcional,,43472,,1,
10191508,Protectores contra termitas,Opcional,Opcional,,43472,,1,
10191509,Insecticidas,Opcional,Opcional,,43472,,1,
10191510,Abamectina,Opcional,Opcional,,43472,,1,
10191511,Fipronil,Opcional,Opcional,,43472,,1,
10191700,Dispositivos para control de plagas,Opcional,Opcional,,43472,,1,
10191701,Trampas para control animal,Opcional,Opcional,,43472,,1,
10191703,Trampas para el control de insectos voladores,Opcional,Opcional,,43472,,1,
10191704,Matamoscas,Opcional,Opcional,,43472,,1,
10191705,Lazos,Opcional,Opcional,,43472,,1,
10191706,Cepos,Opcional,Opcional,,43472,,1,Ratoneras
10191707,Repelente ultrasónico de pestes,Opcional,Opcional,,43472,,1,Ahuyentador Ultrasónico
10201500,Rosales vivos azules o lavanda o púrpura,Opcional,Opcional,,43472,,1,
10201501,Rosal vivo allure o sterling 95,Opcional,Opcional,,43472,,1,
10201502,Rosal vivo amnesia,Opcional,Opcional,,43472,,1,
10201503,Rosal vivo augusta louise,Opcional,Opcional,,43472,,1,
10201504,Rosal vivo avant garde,Opcional,Opcional,,43472,,1,
10201505,Rosal vivo blue bird,Opcional,Opcional,,43472,,1,
10201506,Rosal vivo curiosa,Opcional,Opcional,,43472,,1,
10201507,Rosal vivo cool water,Opcional,Opcional,,43472,,1,
10201508,Rosal vivo delilah,Opcional,Opcional,,43472,,1,
10201509,Rosal vivo double party,Opcional,Opcional,,43472,,1,
10201510,Rosal vivo faith,Opcional,Opcional,,43472,,1,
10201511,Rosal vivo mami blue o mammy blue,Opcional,Opcional,,43472,,1,
10201512,Rosal vivo marítimo,Opcional,Opcional,,43472,,1,
10201513,Rosal vivo milano,Opcional,Opcional,,43472,,1,
10201514,Rosal vivo mistery,Opcional,Opcional,,43472,,1,
10201515,Rosal vivo ocean song o boyfriend,Opcional,Opcional,,43472,,1,
10201516,Rosal vivo cezanne púrpura,Opcional,Opcional,,43472,,1,
10201517,Rosal vivo purple fragrance,Opcional,Opcional,,43472,,1,
10201518,Rosal vivo sanaa,Opcional,Opcional,,43472,,1,
10201519,Rosal vivo silverstone,Opcional,Opcional,,43472,,1,
10201520,Rosal vivo soulmate,Opcional,Opcional,,43472,,1,
10201521,Rosal vivo stranger,Opcional,Opcional,,43472,,1,
10201522,Rosal vivo tinted blue,Opcional,Opcional,,43472,,1,
10201523,Rosal vivo two faces,Opcional,Opcional,,43472,,1,
10201600,Rosales vivos chocolate o marrón,Opcional,Opcional,,43472,,1,
10201601,Rosal vivo black lava,Opcional,Opcional,,43472,,1,
10201602,Rosal vivo cimarron,Opcional,Opcional,,43472,,1,
10201603,Rosal vivo coffee break,Opcional,Opcional,,43472,,1,
10201604,Rosal vivo estelle,Opcional,Opcional,,43472,,1,
10201605,Rosal vivo gypsy leonidas,Opcional,Opcional,,43472,,1,
